(10,)
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
flatten_1 (Flatten)          (None, 10)                0         
_________________________________________________________________
dense_1 (Dense)              (None, 512)               5632      
_________________________________________________________________
activation_1 (Activation)    (None, 512)               0         
_________________________________________________________________
dense_2 (Dense)              (None, 512)               262656    
_________________________________________________________________
activation_2 (Activation)    (None, 512)               0         
_________________________________________________________________
dense_3 (Dense)              (None, 5)                 2565      
_________________________________________________________________
activation_3 (Activation)    (None, 5)                 0         
=================================================================
Total params: 270,853
Trainable params: 270,853
Non-trainable params: 0
_________________________________________________________________
None
load model
Training for 500000 steps ...
[F[K     39/500000: episode: 1, duration: 0.562s, episode steps: 39, steps per second: 69, episode reward: 39.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.154 [0.000, 4.000], mean observation: 0.498 [0.470, 0.510], loss: 0.880180, mean_absolute_error: 82.667548, mean_q: 104.039556
[F[K    106/500000: episode: 2, duration: 0.322s, episode steps: 67, steps per second: 208, episode reward: 67.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.284 [0.000, 4.000], mean observation: 0.483 [0.390, 0.530], loss: 13.879645, mean_absolute_error: 77.133308, mean_q: 97.586159
[F[K    146/500000: episode: 3, duration: 0.208s, episode steps: 40, steps per second: 193, episode reward: 40.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.625 [0.000, 3.000], mean observation: 0.517 [0.470, 0.630], loss: 19.687922, mean_absolute_error: 74.115128, mean_q: 94.512253
[F[K    198/500000: episode: 4, duration: 0.291s, episode steps: 52, steps per second: 179, episode reward: 52.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.365 [0.000, 4.000], mean observation: 0.497 [0.360, 0.590], loss: 22.968493, mean_absolute_error: 72.733223, mean_q: 92.759552
[F[K    258/500000: episode: 5, duration: 0.335s, episode steps: 60, steps per second: 179, episode reward: 60.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.683 [0.000, 4.000], mean observation: 0.509 [0.460, 0.620], loss: 22.424034, mean_absolute_error: 70.933311, mean_q: 90.589096
[F[K    331/500000: episode: 6, duration: 0.404s, episode steps: 73, steps per second: 180, episode reward: 73.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.548 [0.000, 4.000], mean observation: 0.489 [0.370, 0.530], loss: 17.801552, mean_absolute_error: 70.952011, mean_q: 90.811714
[F[K    384/500000: episode: 7, duration: 0.352s, episode steps: 53, steps per second: 150, episode reward: 53.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.113 [0.000, 4.000], mean observation: 0.518 [0.490, 0.590], loss: 16.835354, mean_absolute_error: 69.947899, mean_q: 89.650360
[F[K    443/500000: episode: 8, duration: 0.342s, episode steps: 59, steps per second: 173, episode reward: 59.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.407 [0.000, 4.000], mean observation: 0.506 [0.460, 0.610], loss: 25.652506, mean_absolute_error: 70.299965, mean_q: 90.050026
[F[K    558/500000: episode: 9, duration: 0.696s, episode steps: 115, steps per second: 165, episode reward: 115.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.904 [0.000, 4.000], mean observation: 0.494 [0.450, 0.530], loss: 18.886782, mean_absolute_error: 71.445923, mean_q: 91.824440
[F[K    614/500000: episode: 10, duration: 0.358s, episode steps: 56, steps per second: 157, episode reward: 56.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.339 [0.000, 4.000], mean observation: 0.476 [0.350, 0.530], loss: 19.104254, mean_absolute_error: 70.787621, mean_q: 91.110245
[F[K    650/500000: episode: 11, duration: 0.258s, episode steps: 36, steps per second: 140, episode reward: 36.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.917 [0.000, 4.000], mean observation: 0.499 [0.390, 0.580], loss: 16.133413, mean_absolute_error: 69.405670, mean_q: 89.538742
[F[K    705/500000: episode: 12, duration: 0.380s, episode steps: 55, steps per second: 145, episode reward: 55.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.000 [0.000, 4.000], mean observation: 0.492 [0.370, 0.590], loss: 17.175287, mean_absolute_error: 69.458130, mean_q: 89.527885
[F[K    764/500000: episode: 13, duration: 0.382s, episode steps: 59, steps per second: 155, episode reward: 59.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.763 [0.000, 4.000], mean observation: 0.510 [0.490, 0.550], loss: 18.289421, mean_absolute_error: 68.370811, mean_q: 88.106438
[F[K    811/500000: episode: 14, duration: 0.338s, episode steps: 47, steps per second: 139, episode reward: 47.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.319 [0.000, 4.000], mean observation: 0.506 [0.430, 0.630], loss: 16.321476, mean_absolute_error: 69.228569, mean_q: 89.306267
[F[K    873/500000: episode: 15, duration: 0.490s, episode steps: 62, steps per second: 127, episode reward: 62.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.903 [0.000, 4.000], mean observation: 0.505 [0.440, 0.610], loss: 21.186390, mean_absolute_error: 68.040779, mean_q: 87.802742
[F[K    924/500000: episode: 16, duration: 0.433s, episode steps: 51, steps per second: 118, episode reward: 51.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.804 [0.000, 4.000], mean observation: 0.517 [0.500, 0.590], loss: 18.083292, mean_absolute_error: 68.694740, mean_q: 88.739487
[F[K    994/500000: episode: 17, duration: 0.551s, episode steps: 70, steps per second: 127, episode reward: 70.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.214 [0.000, 4.000], mean observation: 0.500 [0.400, 0.580], loss: 17.236725, mean_absolute_error: 69.384926, mean_q: 89.445671
[F[K   1039/500000: episode: 18, duration: 0.336s, episode steps: 45, steps per second: 134, episode reward: 45.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.244 [0.000, 4.000], mean observation: 0.510 [0.470, 0.630], loss: 22.778107, mean_absolute_error: 68.358856, mean_q: 88.181862
[F[K   1087/500000: episode: 19, duration: 0.359s, episode steps: 48, steps per second: 134, episode reward: 48.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.188 [0.000, 3.000], mean observation: 0.504 [0.440, 0.580], loss: 27.564392, mean_absolute_error: 67.993362, mean_q: 87.612160
[F[K   1142/500000: episode: 20, duration: 0.474s, episode steps: 55, steps per second: 116, episode reward: 55.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.382 [0.000, 4.000], mean observation: 0.493 [0.390, 0.540], loss: 26.385689, mean_absolute_error: 68.449318, mean_q: 88.251793
[F[K   1173/500000: episode: 21, duration: 0.242s, episode steps: 31, steps per second: 128, episode reward: 31.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.032 [0.000, 3.000], mean observation: 0.525 [0.470, 0.640], loss: 16.765648, mean_absolute_error: 68.485413, mean_q: 88.582108
[F[K   1228/500000: episode: 22, duration: 0.466s, episode steps: 55, steps per second: 118, episode reward: 55.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.618 [0.000, 4.000], mean observation: 0.492 [0.370, 0.560], loss: 24.643671, mean_absolute_error: 67.610962, mean_q: 87.344002
[F[K   1293/500000: episode: 23, duration: 0.558s, episode steps: 65, steps per second: 116, episode reward: 65.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.354 [0.000, 4.000], mean observation: 0.514 [0.490, 0.570], loss: 20.569139, mean_absolute_error: 67.116234, mean_q: 86.862595
